PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"21, 0.8, 0.56, 0.011, combined, -0.019, -0.02, 0.4, 0.023",COMPLETED,0.5623,+153.26,+15.33%,415.75,26.68%,131,44.27%,1.096,+1.17,+0.12%,21.69,0.562,0.282,14.56%,+41.60,21,0.8,0.56,0.011,combined,-0.019,-0.02,0.4,0.023,45,
"17, 0.6, 0.1, 0.02, combined, -0.018, -0.027, 0.2, 0.026",COMPLETED,2.5635,"+5,917.25",+591.73%,"1,591.09",39.53%,238,39.92%,1.625,+24.86,+2.49%,18.96,2.563,1.729,23.12%,+618.00,17,0.6,0.1,0.02,combined,-0.018,-0.027,0.2,0.026,46,
"14, 0.7, 0.1, 0.02, combined, -0.018, -0.027, 0.1, 0.024",COMPLETED,1.5950,"+1,768.37",+176.84%,"1,303.48",38.73%,175,42.29%,1.366,+10.10,+1.01%,21.97,1.595,0.933,19.69%,+203.11,14,0.7,0.1,0.02,combined,-0.018,-0.027,0.1,0.024,47,
"17, 1, 0.2, 0.018, combined, -0.016, -0.028, 0.2, 0.026",COMPLETED,0.7482,+287.54,+28.75%,552.58,33.08%,71,42.25%,1.233,+4.05,+0.40%,22.69,0.748,0.276,8.25%,+55.03,17,1,0.2,0.018,combined,-0.016,-0.028,0.2,0.026,48,
"15, 0.6, 0.12, 0.012, combined, -0.017, -0.027, 0.2, 0.024",COMPLETED,2.0381,"+1,743.57",+174.36%,436.52,27.24%,253,39.13%,1.462,+6.89,+0.69%,19.02,2.038,1.417,24.64%,+200.63,15,0.6,0.12,0.012,combined,-0.017,-0.027,0.2,0.024,49,
"21, 0.8, 0.48, 0.017, combined, -0.019, -0.027, 0.5, 0.022",COMPLETED,0.6513,+232.74,+23.27%,775.07,38.96%,131,43.51%,1.080,+1.78,+0.18%,21.69,0.651,0.328,14.56%,+49.55,21,0.8,0.48,0.017,combined,-0.019,-0.027,0.5,0.022,50,
"9, 0.6, 0.24, 0.008, combined, -0.015, -0.02, 0.3, 0.027",COMPLETED,2.2545,"+1,418.80",+141.88%,262.56,23.11%,286,37.76%,1.731,+4.96,+0.50%,17.65,2.254,1.552,25.86%,+168.15,9,0.6,0.24,0.008,combined,-0.015,-0.02,0.3,0.027,51,
"18, 0.6, 0.48, 0.01, combined, -0.02, -0.028, 0.5, 0.028",COMPLETED,2.3402,"+1,613.61",+161.36%,321.52,15.80%,233,41.20%,1.578,+6.93,+0.69%,19.32,2.340,1.559,23.05%,+187.63,18,0.6,0.48,0.01,combined,-0.02,-0.028,0.5,0.028,52,
"20, 0.5, 0.4, 0.009, combined, -0.018, -0.024, 0.2, 0.026",COMPLETED,2.6365,"+2,061.94",+206.19%,436.93,23.56%,349,36.96%,1.598,+5.91,+0.59%,16.43,2.636,2.018,29.37%,+232.47,20,0.5,0.4,0.009,combined,-0.018,-0.024,0.2,0.026,53,
"23, 0.9, 0.27, 0.009, combined, -0.018, -0.022, 0.2, 0.025",COMPLETED,1.0074,+257.75,+25.78%,218.49,16.53%,90,42.22%,1.384,+2.86,+0.29%,24.44,1.007,0.427,11.27%,+52.05,23,0.9,0.27,0.009,combined,-0.018,-0.022,0.2,0.025,54,
"20, 0.8, 0.24, 0.006, combined, -0.017, -0.022, 0.2, 0.026",COMPLETED,0.9764,+91.48,+9.15%,40.58,3.89%,22,40.91%,2.288,+4.16,+0.42%,22.68,0.976,0.178,84.65%,+35.42,20,0.8,0.24,0.006,combined,-0.017,-0.022,0.2,0.026,55,
"17, 0.6, 0.48, 0.008, combined, -0.018, -0.029, 0.4, 0.023",COMPLETED,2.4965,"+1,360.14",+136.01%,232.37,17.71%,238,38.66%,1.694,+5.71,+0.57%,18.96,2.496,1.675,23.12%,+162.29,17,0.6,0.48,0.008,combined,-0.018,-0.029,0.4,0.023,56,
"17, 1.1, 0.99, 0.008, combined, -0.015, -0.027, 0.4, 0.022",COMPLETED,0.3247,+45.59,+4.56%,215.12,18.56%,54,46.30%,1.135,+0.84,+0.08%,22.22,0.325,0.099,6.15%,+30.83,17,1.1,0.99,0.008,combined,-0.015,-0.027,0.4,0.022,57,
"20, 0.7, 0.56, 0.007, combined, -0.018, -0.028, 0.4, 0.025",COMPLETED,2.3959,+877.05,+87.70%,182.90,13.55%,164,46.95%,1.945,+5.35,+0.53%,20.98,2.396,1.385,17.63%,+113.98,20,0.7,0.56,0.007,combined,-0.018,-0.028,0.4,0.025,58,
"22, 2.5, 2, 0.006, combined, -0.012, -0.024, 0.3, 0.027",COMPLETED,-0.1493,-3.40,-0.34%,16.60,1.66%,1,0.00%,0.000,-3.40,-0.34%,48.00,-0.149,-0.012,0.25%,+25.93,22,2.5,2,0.006,combined,-0.012,-0.024,0.3,0.027,59,
"14, 0.6, 0.42, 0.008, ladder, -0.016, -0.018, 0.5, 0.029",COMPLETED,0.1317,-47.29,-4.73%,427.26,42.32%,142,55.63%,0.971,-0.33,-0.03%,49.59,0.132,0.103,35.98%,+21.54,14,0.6,0.42,0.008,ladder,-0.016,-0.018,0.5,0.029,60,
"15, 0.9, 0.45, 0.007, combined, -0.019, -0.028, 0.1, 0.02",COMPLETED,0.4753,+84.15,+8.42%,206.46,16.18%,100,43.00%,1.116,+0.84,+0.08%,21.11,0.475,0.201,10.81%,+34.69,15,0.9,0.45,0.007,combined,-0.019,-0.028,0.1,0.02,61,
"16, 0.5, 0.4, 0.009, combined, -0.018, -0.024, 0.3, 0.023",COMPLETED,2.8030,"+2,456.18",+245.62%,359.87,24.45%,349,35.82%,1.650,+7.04,+0.70%,17.14,2.803,2.184,30.65%,+271.89,16,0.5,0.4,0.009,combined,-0.018,-0.024,0.3,0.023,62,
"16, 0.6, 0.48, 0.009, combined, -0.017, -0.028, 0.3, 0.024",COMPLETED,2.3405,"+1,492.04",+149.20%,304.83,22.74%,242,39.26%,1.661,+6.17,+0.62%,19.19,2.341,1.610,23.78%,+175.48,16,0.6,0.48,0.009,combined,-0.017,-0.028,0.3,0.024,63,
"17, 0.8, 0.64, 0.009, combined, -0.019, -0.025, 0.3, 0.023",COMPLETED,0.8966,+275.38,+27.54%,367.32,22.49%,132,44.70%,1.242,+2.09,+0.21%,22.31,0.897,0.464,14.91%,+53.81,17,0.8,0.64,0.009,combined,-0.019,-0.025,0.3,0.023,64,
"18, 0.5, 0.45, 0.008, combined, -0.018, -0.022, 0.2, 0.026",COMPLETED,2.7492,"+1,959.45",+195.94%,275.44,19.80%,357,33.89%,1.628,+5.49,+0.55%,16.32,2.749,2.138,29.85%,+222.22,18,0.5,0.45,0.008,combined,-0.018,-0.022,0.2,0.026,65,
"18, 0.5, 0.45, 0.013, combined, -0.017, -0.02, 0.2, 0.026",COMPLETED,2.7670,"+4,335.52",+433.55%,738.89,30.83%,357,33.89%,1.607,+12.14,+1.21%,16.32,2.767,2.154,29.84%,+459.82,18,0.5,0.45,0.013,combined,-0.017,-0.02,0.2,0.026,66,
"21, 0.5, 0.45, 0.014, time_only, -0.009, -0.012, 0.2, 0.028",COMPLETED,-0.3035,-456.93,-45.69%,759.64,62.56%,162,52.47%,0.859,-2.82,-0.28%,53.66,-0.304,-0.259,44.53%,-19.42,21,0.5,0.45,0.014,time_only,-0.009,-0.012,0.2,0.028,67,
"23, 0.7, 0.63, 0.013, combined, -0.016, -0.019, 0.1, 0.025",COMPLETED,1.9969,"+1,393.18",+139.32%,519.87,25.04%,164,45.12%,1.590,+8.50,+0.85%,21.25,1.997,1.162,17.77%,+165.59,23,0.7,0.63,0.013,combined,-0.016,-0.019,0.1,0.025,68,
