entry_time,exit_time,side,quantity,entry_price,exit_price,gross_pnl,commission,net_pnl,entry_order_id,exit_order_id,exit_comment,is_partial_exit,parent_entry_order_id,entry_bar_idx,exit_bar_idx,bars_held
2022-05-25 10:30:00,2022-05-25 11:30:00,long,62.84993,57.5,57.24,-16.340981799999874,0.0,-16.340981799999874,entry_long_2022-05-25 10:25:00,exit_VWAPExitRule_2022-05-25 11:30:00,VWAP Cross Down,False,,7729,7741,12
2022-05-25 14:55:00,2022-05-25 15:40:00,long,55.762852,57.49,57.51,1.115257039999778,0.0,1.115257039999778,entry_long_2022-05-25 14:50:00,exit_TimeExitRule_2022-05-25 15:40:00,Time threshold reached,False,,7782,7791,9
2022-05-26 09:50:00,2022-05-26 15:40:00,long,24.710711,58.13,58.82,17.050390589999942,0.0,17.050390589999942,entry_long_2022-05-26 09:45:00,exit_TimeExitRule_2022-05-26 15:40:00,Time threshold reached,False,,7799,7869,70
2022-05-27 09:50:00,2022-05-27 09:50:00,long,17.546773,59.78,59.78,0.0,0.0,0.0,entry_long_2022-05-27 09:45:00,exit_VWAPExitRule_2022-05-27 09:50:00,VWAP Cross Down,False,,7877,7877,0
2022-05-27 14:55:00,2022-05-27 15:40:00,long,71.005511,59.87,60.03,11.360881760000263,0.0,11.360881760000263,entry_long_2022-05-27 14:50:00,exit_TimeExitRule_2022-05-27 15:40:00,Time threshold reached,False,,7938,7947,9
2022-05-31 10:35:00,2022-05-31 14:40:00,long,61.9677,61.17,61.09,-4.957415999999895,0.0,-4.957415999999895,entry_long_2022-05-31 10:30:00,exit_VWAPExitRule_2022-05-31 14:40:00,VWAP Cross Down,False,,7964,8013,49
2022-06-01 10:20:00,2022-06-01 14:30:00,short,65.829357,60.83,60.7,8.5578164099997,0.0,8.5578164099997,entry_short_2022-06-01 10:15:00,exit_VWAPExitRule_2022-06-01 14:30:00,VWAP Cross Up,False,,8039,8089,50
2022-06-01 14:40:00,2022-06-01 14:40:00,short,72.010233,60.68999999999999,60.69,-5.116634795854225e-13,0.0,-5.116634795854225e-13,entry_short_2022-06-01 14:35:00,exit_VWAPExitRule_2022-06-01 14:40:00,VWAP Cross Up,False,,8091,8091,0
2022-06-01 14:50:00,2022-06-01 15:20:00,short,119.352857,60.75,60.67,9.548228559999796,0.0,9.548228559999796,entry_short_2022-06-01 14:45:00,exit_VWAPExitRule_2022-06-01 15:20:00,VWAP Cross Up,False,,8093,8099,6
2022-06-01 15:30:00,2022-06-01 15:40:00,short,111.913857,60.65,60.605,5.0361235650001905,0.0,5.0361235650001905,entry_short_2022-06-01 15:25:00,exit_TimeExitRule_2022-06-01 15:40:00,Time threshold reached,False,,8101,8103,2
2022-06-02 09:50:00,2022-06-02 10:20:00,long,39.274667,61.03,60.98,-1.9637333500001675,0.0,-1.9637333500001675,entry_long_2022-06-02 09:45:00,exit_VWAPExitRule_2022-06-02 10:20:00,VWAP Cross Down,False,,8111,8117,6
2022-06-02 10:40:00,2022-06-02 15:40:00,long,47.565262,61.1,61.54,20.928715279999892,0.0,20.928715279999892,entry_long_2022-06-02 10:35:00,exit_TimeExitRule_2022-06-02 15:40:00,Time threshold reached,False,,8121,8181,60
2022-06-03 10:55:00,2022-06-03 14:25:00,short,117.182686,60.45,60.27,21.09288347999997,0.0,21.09288347999997,entry_short_2022-06-03 10:50:00,exit_VWAPExitRule_2022-06-03 14:25:00,VWAP Cross Up,False,,8202,8244,42
2022-06-03 14:35:00,2022-06-03 15:00:00,short,92.990454,60.33,60.31,1.85980907999963,0.0,1.85980907999963,entry_short_2022-06-03 14:30:00,exit_VWAPExitRule_2022-06-03 15:00:00,VWAP Cross Up,False,,8246,8251,5
2022-06-03 15:10:00,2022-06-03 15:40:00,short,104.05429,60.22,60.199999999999996,2.0810858000003254,0.0,2.0810858000003254,entry_short_2022-06-03 15:05:00,exit_TimeExitRule_2022-06-03 15:40:00,Time threshold reached,False,,8253,8259,6
2022-06-07 09:50:00,2022-06-07 15:40:00,long,10.78771,59.12,60.24,12.08223520000005,0.0,12.08223520000005,entry_long_2022-06-07 09:45:00,exit_TimeExitRule_2022-06-07 15:40:00,Time threshold reached,False,,8345,8415,70
2022-06-08 12:45:00,2022-06-08 15:40:00,short,73.969443,59.525,59.46,4.808013794999832,0.0,4.808013794999832,entry_short_2022-06-08 12:40:00,exit_TimeExitRule_2022-06-08 15:40:00,Time threshold reached,False,,8458,8493,35
2022-06-09 10:55:00,2022-06-09 11:40:00,short,137.936124,58.22,58.47,-34.484031,0.0,-34.484031,entry_short_2022-06-09 10:50:00,exit_VWAPExitRule_2022-06-09 11:40:00,VWAP Cross Up,False,,8514,8523,9
2022-06-09 11:50:00,2022-06-09 11:55:00,short,40.680934,58.38,58.59,-8.542996140000035,0.0,-8.542996140000035,entry_short_2022-06-09 11:45:00,exit_VWAPExitRule_2022-06-09 11:55:00,VWAP Cross Up,False,,8525,8526,1
2022-06-09 12:15:00,2022-06-09 15:40:00,short,74.185665,58.32899999999999,57.44,65.95105618499969,0.0,65.95105618499969,entry_short_2022-06-09 12:10:00,exit_TimeExitRule_2022-06-09 15:40:00,Time threshold reached,False,,8530,8571,41
2022-06-10 10:05:00,2022-06-10 11:00:00,short,65.274972,55.575,55.62,-2.937373739999648,0.0,-2.937373739999648,entry_short_2022-06-10 10:00:00,exit_VWAPExitRule_2022-06-10 11:00:00,VWAP Cross Up,False,,8582,8593,11
2022-06-10 11:10:00,2022-06-10 12:40:00,short,55.329571,55.65,55.76,-6.086252809999968,0.0,-6.086252809999968,entry_short_2022-06-10 11:05:00,exit_VWAPExitRule_2022-06-10 12:40:00,VWAP Cross Up,False,,8595,8613,18
2022-06-10 12:50:00,2022-06-10 13:25:00,short,88.524002,55.545,55.599999999999994,-4.868820109999346,0.0,-4.868820109999346,entry_short_2022-06-10 12:45:00,exit_VWAPExitRule_2022-06-10 13:25:00,VWAP Cross Up,False,,8615,8622,7
2022-06-10 13:35:00,2022-06-10 13:45:00,short,91.302594,55.53,55.57,-3.652103759999922,0.0,-3.652103759999922,entry_short_2022-06-10 13:30:00,exit_VWAPExitRule_2022-06-10 13:45:00,VWAP Cross Up,False,,8624,8626,2
2022-06-10 13:55:00,2022-06-10 14:15:00,short,79.540484,55.49999999999999,55.55,-3.9770242000003395,0.0,-3.9770242000003395,entry_short_2022-06-10 13:50:00,exit_VWAPExitRule_2022-06-10 14:15:00,VWAP Cross Up,False,,8628,8632,4
2022-06-10 14:30:00,2022-06-10 14:30:00,short,94.54398,55.59,55.59,-0.0,0.0,-0.0,entry_short_2022-06-10 14:25:00,exit_VWAPExitRule_2022-06-10 14:30:00,VWAP Cross Up,False,,8635,8635,0
2022-06-10 14:40:00,2022-06-10 14:55:00,short,83.429625,55.49000000000001,55.58,-7.5086662499990995,0.0,-7.5086662499990995,entry_short_2022-06-10 14:35:00,exit_VWAPExitRule_2022-06-10 14:55:00,VWAP Cross Up,False,,8637,8640,3
2022-06-10 15:05:00,2022-06-10 15:40:00,short,104.453424,55.5,55.42,8.356273919999822,0.0,8.356273919999822,entry_short_2022-06-10 15:00:00,exit_TimeExitRule_2022-06-10 15:40:00,Time threshold reached,False,,8642,8649,7
2022-06-13 11:00:00,2022-06-13 12:30:00,short,147.169814,52.400000000000006,52.74,-50.037736759999454,0.0,-50.037736759999454,entry_short_2022-06-13 10:55:00,exit_VWAPExitRule_2022-06-13 12:30:00,VWAP Cross Up,False,,8671,8689,18
2022-06-13 15:00:00,2022-06-13 15:40:00,short,78.300336,52.45,52.08,28.971124320000357,0.0,28.971124320000357,entry_short_2022-06-13 14:55:00,exit_TimeExitRule_2022-06-13 15:40:00,Time threshold reached,False,,8719,8727,8
2022-06-14 10:00:00,2022-06-14 10:25:00,long,26.078081,52.73,52.36,-9.648889969999933,0.0,-9.648889969999933,entry_long_2022-06-14 09:55:00,exit_VWAPExitRule_2022-06-14 10:25:00,VWAP Cross Down,False,,8737,8742,5
2022-06-15 10:15:00,2022-06-15 14:00:00,long,77.060745,52.74,53.04,23.11822349999978,0.0,23.11822349999978,entry_long_2022-06-15 10:10:00,exit_VWAPExitRule_2022-06-15 14:00:00,VWAP Cross Down,False,,8818,8863,45
2022-06-15 14:15:00,2022-06-15 14:20:00,long,58.017946,52.71,52.875,9.57296108999995,0.0,9.57296108999995,entry_long_2022-06-15 14:10:00,exit_VWAPExitRule_2022-06-15 14:20:00,VWAP Cross Down,False,,8866,8867,1
2022-06-15 14:40:00,2022-06-15 15:40:00,long,23.730465,53.15999999999999,53.56,9.492186000000302,0.0,9.492186000000302,entry_long_2022-06-15 14:35:00,exit_TimeExitRule_2022-06-15 15:40:00,Time threshold reached,False,,8871,8883,12
2022-06-16 10:45:00,2022-06-16 15:40:00,short,64.542573,51.29,51.28,0.6454257299998717,0.0,0.6454257299998717,entry_short_2022-06-16 10:40:00,exit_TimeExitRule_2022-06-16 15:40:00,Time threshold reached,False,,8902,8961,59
2022-06-17 12:30:00,2022-06-17 15:40:00,long,72.952508,52.685,53.235,40.12387939999979,0.0,40.12387939999979,entry_long_2022-06-17 12:25:00,exit_TimeExitRule_2022-06-17 15:40:00,Time threshold reached,False,,9001,9039,38
2022-06-23 11:00:00,2022-06-23 13:00:00,long,151.795671,53.55,53.2,-53.12848484999914,0.0,-53.12848484999914,entry_long_2022-06-23 10:55:00,exit_VWAPExitRule_2022-06-23 13:00:00,VWAP Cross Down,False,,9217,9241,24
2022-06-23 15:30:00,2022-06-23 15:40:00,long,209.385555,53.64000000000001,53.85,43.97096654999869,0.0,43.97096654999869,entry_long_2022-06-23 15:25:00,exit_TimeExitRule_2022-06-23 15:40:00,Time threshold reached,False,,9271,9273,2
